short_name	long_name	mapped_reads	deduplicated_reads
C10	CHIKV_AG_SOF_80_Right_ankle_50	237888	53973
C11	CHIKV_AG_MPV_10_Right_ankle_51	2205186	1293747
C12	CHIKV_AG_MPV_10_Right_ankle_52	9743792	3549277
C13	CHIKV_AG_MPV_10_Right_ankle_53	26150	1442
C14	CHIKV_AG_MPV_10_Right_ankle_54	2246475	1261985
C15	CHIKV_AG_MPV_10_Right_ankle_55	2213610	1287106
C16	CHIKV_AG_COMBO_Right_ankle_56	33117117	6950112
C17	CHIKV_AG_COMBO_Right_ankle_57	1499596	921583
C18	CHIKV_AG_COMBO_Right_ankle_58	7767025	2827212
C19	CHIKV_AG_COMBO_Right_ankle_59	16129973	4845378
C1	CHIKV_AG_CTRL_Right_ankle_41	18235297	5201486
C20	CHIKV_AG_COMBO_Right_ankle_60	2462938	1349183
C21	CHIKV_AG_MPV_50_Right_ankle_559	525569	235539
C22	CHIKV_AG_MPV_50_Right_ankle_560	290464	179718
C23	CHIKV_AG_MPV_50_Right_ankle_561	1132302	651887
C24	CHIKV_AG_MPV_50_Right_ankle_562	357346	208455
C25	CHIKV_AG_MPV_50_Right_ankle_563	440249	303070
C26	CHIKV_AG_MPV_100_Right_ankle_426	40188	2636
C27	CHIKV_AG_MPV_100_Right_ankle_427	44806	30025
C28	CHIKV_AG_MPV_100_Right_ankle_428	4354	3836
C29	CHIKV_AG_MPV_100_Right_ankle_429	405440	258091
C2	CHIKV_AG_CTRL_Right_ankle_42	20641784	5223443
C30	CHIKV_AG_MPV_100_Right_ankle_430	333815	201299
C3	CHIKV_AG_CTRL_Right_ankle_43	27685790	5685854
C4	CHIKV_AG_CTRL_Right_ankle_44	12483602	4101040
C5	CHIKV_AG_CTRL_Right_ankle_45	21758024	5376780
C6	CHIKV_AG_SOF_80_Right_ankle_46	11205513	3910827
C7	CHIKV_AG_SOF_80_Right_ankle_47	11951954	4068845
C8	CHIKV_AG_SOF_80_Right_ankle_48	10128351	3776939
C9	CHIKV_AG_SOF_80_Right_ankle_49	19158639	5209571
